DTSTAMP,DTSTART,DTEND,SUMMARY,LOCATION,DESCRIPTION,CREATED,LAST-MODIFIED,SEQUENCE
<icalendar.prop.vDDDTypes object at 0x00000210945FD000>,2021-11-19T12:30:00,2021-11-19T14:30:00,Architecture des systèmes numériques et informatiques,RT-Salle Labo Visio,"

RT1App
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x00000210945FD3F0>,2022-01-07T09:15:00,2022-01-07T11:15:00,DS Réseaux locaux et équipements actifs,RT-Salle Labo Visio,"

RT1App
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x00000210945FD810>,2021-11-16T13:00:00,2021-11-16T16:00:00,Principes et architecture des réseaux,RT-Labo reseaux 2,"

RT1App
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x00000210945FDDB0>,2022-01-03T13:00:00,2022-01-03T17:00:00,Services réseaux avancés,RT-Labo Informatique 2,"

RT2Dijkstra
PERNOT ANTOINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x00000210945FE050>,2021-10-11T14:00:00,2021-10-11T16:00:00,Principes et architecture des réseaux,RT-Salle Labo Visio,"

RT1App
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x00000210945FE470>,2021-12-13T07:15:00,2021-12-13T09:15:00,Architecture des systèmes numériques et informatiques,RT-Salle Labo Visio,"

RT1App
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x00000210945FE860>,2021-12-10T12:30:00,2021-12-10T14:30:00,TP Supervision et sécurisation du SI,RT-Labo reseaux 1,"

LP-CyberSécurité
ROY MICHAEL
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x00000210945FEC80>,2021-10-12T12:00:00,2021-10-12T14:00:00,Projets tuteurés,,"

RT2Hamming
RT2Dijkstra
Réunion/Evènement
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x00000210945FF070>,2022-01-05T13:00:00,2022-01-05T15:00:00,SAE12: Réseaux,RT-Labo reseaux 2,"

RT1App
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x00000210945FF460>,2021-12-06T13:00:00,2021-12-06T17:00:00,Réseaux locaux et équipements actifs,RT-Labo reseaux 2,"

RT1Huffman
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x00000210945FF880>,2021-11-18T07:15:00,2021-11-18T11:00:00,Systèmes et stockage virtualisés,Pôle formation (Monéteau),"

LP-GSIE-ARE-1
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x00000210945FFCD0>,2021-11-18T12:30:00,2021-11-18T16:15:00,Systèmes et stockage virtualisés,Pôle formation (Monéteau),"

LP-GSIE-ARE-1
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109420C130>,2022-01-04T14:30:00,2022-01-04T16:30:00,TP Supervision et sécurisation du SI,RT-Labo reseaux 1,"

LP-CyberSécurité
ROY MICHAEL
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109420C580>,2021-11-23T09:15:00,2021-11-23T11:15:00,Réseaux opérateurs MR,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
ROY MICHAEL
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109420C970>,2022-01-12T07:15:00,2022-01-12T11:00:00,LINUX,RT-Labo Informatique 3,"

LP-CyberSécurité
LP-GSIE-ARE-1
BOUCHER ARNAUD
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109420CD60>,2021-09-09T06:15:00,2021-09-09T08:15:00,Initiation réseaux,"RT-Salle-TD2,RT-Labo Informatique 2","

TDFourier
ROY MICHAEL
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109420D180>,2022-02-01T15:00:00,2022-02-01T17:00:00,Sources de données,RT-Salle-TD1,"

TDBell
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109420D570>,2022-02-07T12:30:00,2022-02-07T16:15:00,Arcitecture 3-Tier,Pôle formation (Monéteau),"

LP-GSIE-ARE-1
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109420D990>,2021-11-23T13:00:00,2021-11-23T15:00:00,Infrastructure sans fil,RT-Labo Telecoms 1,"

RT2App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109420DD80>,2022-01-07T07:15:00,2022-01-07T09:15:00,Anglais,RT-Labo Informatique 2,"

RT2Hamming
CARTIER ANNA
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109420E170>,2021-11-10T13:00:00,2021-11-10T16:00:00,Mathématiques des transmissions,RT-Labo Informatique 2,"

RT1Huffman
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109420E560>,2021-12-16T12:30:00,2021-12-16T16:30:00,Architecture des systèmes numériques et informatiques,RT-Labo Informatique 1,"

RT1Turing
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109420E950>,2022-01-11T07:15:00,2022-01-11T09:15:00,SAE15: Traiter des données,RT-Salle Labo Visio,"

RT1App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109420ED40>,2022-01-10T08:15:00,2022-01-10T11:15:00,Transmission large bande,RT-Labo Telecoms 1,"

RT2Hamming
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109420F130>,2021-10-04T14:00:00,2021-10-04T16:00:00,Matrices et graphes,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109420F520>,2021-10-08T11:30:00,2021-10-08T15:30:00,DS TP Initiation réseaux,RT-Labo reseaux 1,"

RT1Shannon1
RT1Shannon2
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109420F910>,2021-12-15T09:15:00,2021-12-15T11:15:00,PortFolio - CISCO,RT-Labo Informatique 2,"

RT1Huffman
ROY MICHAEL
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109420FD00>,2021-10-08T07:15:00,2021-10-08T10:15:00,Transmissions guidées,RT-Labo Telecoms 2,"

RT2Dijkstra
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021094228040>,2022-01-11T09:15:00,2022-01-11T11:15:00,Gestion de projet,RT-Salle Labo Visio,"

RT1App
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021094228520>,2021-10-22T08:15:00,2021-10-22T10:15:00,Applications informatiques,RT-Labo Informatique 2,"

RT2Hamming
RT2Dijkstra
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021094228910>,2021-11-08T13:00:00,2021-11-08T15:00:00,Fondamentaux de la programmation,RT-Labo Informatique 3,"

TDFourier
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021094228D30>,2021-10-28T08:15:00,2021-10-28T10:15:00,Matrices et graphes,RT-Salle-TD3,"

RT2App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021094229120>,2021-10-20T14:00:00,2021-10-20T16:00:00,Fondamentaux de la programmation,RT-Labo Informatique 1,"

RT1Shannon2
RT1Shannon1
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021094229540>,2022-01-06T12:30:00,2022-01-06T15:30:00,Supports de transmission pour les réseaux locaux,RT-Labo Telecoms 2,"

RT1App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021094229930>,2021-10-11T06:15:00,2021-10-11T10:15:00,Technologies d'accès,RT-Labo Telecoms 1,"

RT2App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021094229D20>,2021-10-26T12:00:00,2021-10-26T16:00:00,Fondamentaux de la programmation,RT-Labo Informatique 1,"

RT1Huffman
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109422A140>,2021-10-14T08:15:00,2021-10-14T10:15:00,Electronique,RT-Salle-TD2,"

TDFourier
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109422A530>,2022-01-14T12:30:00,2022-01-14T16:30:00,SAE13: Telecommunication,RT-Labo Telecoms 2,"

RT1Huffman
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109422A950>,2022-01-25T07:15:00,2022-01-25T09:15:00,Sources de données,RT-Salle-TD2,"

TDFourier
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109422AD40>,2021-09-24T06:15:00,2021-09-24T10:15:00,Technologies d'accès,RT-Labo Telecoms 1,"

RT2Dijkstra
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109422B130>,2022-01-04T09:15:00,2022-01-04T11:15:00,SAE13: Telecommunication,RT-Salle-TD2,"

TDFourier
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109422B520>,2022-02-11T12:30:00,2022-02-11T16:15:00,LINUX,RT-Labo Informatique 3,"

LP-CyberSécurité
LP-GSIE-ARE-1
BOUCHER ARNAUD
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109422B910>,2021-09-27T06:15:00,2021-09-27T08:15:00,Mathématiques du signal,RT-Salle-TD1,"

TDFourier
ANSEL DAVID
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x000002109422BD00>,2021-10-19T12:00:00,2021-10-19T14:00:00,Réseaux opérateurs SM,RT-Labo Telecoms 1,"

RT2Hamming
DEJUSSIEU JEAN LOUIS
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093D0C040>,2021-09-24T06:15:00,2021-09-24T10:15:00,SAE11: Cybersécurité,RT-Labo Informatique 3,"

RT1Shannon1
RT1Shannon2
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093D0C520>,2021-09-08T14:00:00,2021-09-08T16:00:00,Introduction aux technologies Web,"RT-Labo Informatique 1,RT-Labo Informatique 2","

TDBell
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093D0C970>,2021-10-15T11:30:00,2021-10-15T14:30:00,Electromagnétisme,RT-Labo Electronique 1,"

RT2App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093D0CD60>,2022-01-03T09:15:00,2022-01-03T11:15:00,SAE13: Telecommunication,RT-Salle-TD1,"

TDBell
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093D0D150>,2022-01-05T07:15:00,2022-01-05T11:15:00,SAE15: Traiter des données,RT-Labo Informatique 2,"

RT1Turing
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093D0D540>,2021-12-16T12:30:00,2021-12-16T16:30:00,Réseaux locaux et équipements actifs,RT-Labo reseaux 2,"

RT1App
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093D0D960>,2021-11-17T07:15:00,2021-11-17T11:15:00,Applications informatiques,RT-Labo Informatique 2,"

RT2Hamming
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093D0DD50>,2021-11-25T07:15:00,2021-11-25T09:15:00,Architecture des systèmes numériques et informatiques,"RT-Labo Informatique 1,TEAMS","

TDFourier
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093D0E140>,2021-10-27T12:00:00,2021-10-27T16:00:00,Fondamentaux de la programmation,RT-Labo Informatique 3,"

RT1Shannon2
RT1Shannon1
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093D0E560>,2021-12-06T07:15:00,2021-12-06T11:15:00,Fondamentaux de la programmation,RT-Labo Informatique 3,"

RT1App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093D0E980>,2022-02-08T13:00:00,2022-02-08T15:00:00,Technologie de l'internet,RT-Amphi,"

TDBell
TDFourier
ROY MICHAEL
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093D0ED70>,2021-09-17T06:15:00,2021-09-17T08:15:00,Projet Personnel et Professionnel,RT-Labo Informatique 1,"

TDBell
CHABOT ROBERT
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093D0F190>,2021-12-17T07:15:00,2021-12-17T11:00:00,BDD : ADMINISTRATION,RT-Labo Informatique 1,"

LP-CyberSécurité
LP-GSIE-ARE-1
PRESLES BENOÎT
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093D0F580>,2021-09-28T08:15:00,2021-09-28T10:15:00,Initiation réseaux,"RT-Labo Informatique 3,RT-Labo Informatique 2","

TDBell
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093D0F9A0>,2021-11-12T12:30:00,2021-11-12T16:30:00,Gestion d'annuaires unifiés,RT-Labo Informatique 2,"

RT2Hamming
MANSOURI ALAMIN
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093D0FD90>,2022-01-06T09:15:00,2022-01-06T11:15:00,SAE14: Se présenter sur Internet,RT-Labo Informatique 2,"

TDFourier
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093D201F0>,2021-09-23T08:15:00,2021-09-23T10:15:00,Transmission large bande,RT-Salle-TD4,"

RT2-S3
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093D205E0>,2021-10-15T11:30:00,2021-10-15T15:30:00,Bases des systèmes d'exploitation,RT-Labo Informatique 3,"

RT1Shannon2
RT1Shannon1
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093D20A00>,2022-02-03T09:15:00,2022-02-03T11:15:00,Signaux et systèmes pour les transmissions,RT-Salle-TD2,"

TDFourier
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093D20E20>,2021-12-13T07:15:00,2021-12-13T09:15:00,CM Cryptographie,RT-Salle-TD1,"

LP-CyberSécurité
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093D21210>,2022-01-10T13:00:00,2022-01-10T17:00:00,Réseaux opérateurs MR,RT-Labo reseaux 1,"

RT2Hamming
ROY MICHAEL
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093D21600>,2021-11-24T13:00:00,2021-11-24T15:00:00,Expression Culture Communications professionnelles,RT-Salle-TD1,"

RT1Huffman
CHANAMBEAU CHRISTINE
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
<icalendar.prop.vDDDTypes object at 0x0000021093D219F0>,2021-12-09T07:15:00,2021-12-09T09:15:00,Anglais,RT-Labo Informatique 2,"

RT2Dijkstra
CARTIER ANNA
(Exported :05/01/2022 11:04)
",1970-01-01T00:00:00,2022-01-05T10:04:49,-2094427407
